ID,realm,name,race,level,class,zone,role,presence
125,Draenor,Frankìe,Troll,120,Druid,N/A,Member,Offline
126,Draenor,Fullwhite,Tauren,120,Death Knight,N/A,Member,Offline
127,Stormreaver,Furiouspete,Troll,120,Hunter,N/A,Member,Offline
128,Al'Akir,Galileo,Tauren,120,Druid,N/A,Member,Offline
129,TheSha'tar,Gerlado,Tauren,120,Monk,N/A,Member,Offline
130,Kazzak,Gezza,Tauren,120,Druid,N/A,Member,Offline
131,Grim Batol,Gilgämesh,Mag'har Orc,120,Shaman,N/A,Member,Offline
132,Burning Legion,Glare,Blood Elf,120,Paladin,N/A,Member,Offline
133,Twilight'sHammer,Gnorp,Orc,120,Warrior,N/A,Member,Offline
134,Blade'sEdge,Gnral,Orc,120,Death Knight,N/A,Member,Offline
135,Lightbringer,Gorgonzolaa,Tauren,120,Druid,N/A,Member,Offline
136,Tarren  Mill,Gotamah,Highmountain Tauren,120,Druid,N/A,Member,Offline
137,Tarren  Mill,Gotamax,Nightborne,42,Warlock,N/A,Leader,Offline
138,Tarren  Mill,Greyloy,Blood Elf,120,Paladin,N/A,Member,Offline
139,Argent Dawn,Greyweeper,Undead,120,Rogue,N/A,Member,Offline
140,Twisting Nether,Gromis,Orc,120,Death Knight,N/A,Member,Offline
141,Argent Dawn,Grómmgar,Orc,120,Rogue,N/A,Member,Offline
142,Draenor,Grøftefylla,Blood Elf,120,Demon Hunter,N/A,Member,Offline
143,Tarren  Mill,Guff,Goblin,120,Rogue,N/A,Leader,Offline
144,Draenor,Gørthex,Zandalari Troll,120,Druid,N/A,Member,Offline
145,Dentarg,Hampablo,Goblin,120,Shaman,N/A,Member,Offline
146,Drak'thul,Headshøt,Goblin,120,Hunter,N/A,Member,Offline
147,Darksorrow,Healsson,Tauren,120,Druid,N/A,Member,Offline
148,Mannoroth,Heilbutt,Blood Elf,120,Paladin,N/A,Member,Offline
149,Kazzak,Hellbreak,Mag'har Orc,120,Warrior,N/A,Member,Offline
150,Draenor,Hellkebab,Nightborne,120,Warlock,N/A,Member,Offline
151,Tarren  Mill,Hellzbellz,Blood Elf,120,Paladin,N/A,Member,Offline
152,Twisting Nether,Hexthemall,Orc,120,Shaman,N/A,Member,Offline
153,Tarren  Mill,Holybasher,Zandalari Troll,120,Paladin,N/A,Member,Offline
154,Magtheridon,Holydrek,Zandalari Troll,120,Paladin,N/A,Member,Offline
155,Quel'Thalas,Iceflamewtf,Orc,120,Monk,N/A,Member,Offline
156,Draenor,Igvesm,Blood Elf,120,Death Knight,N/A,Member,Offline
157,Burning Legion,Iinkwizytor,Blood Elf,120,Demon Hunter,N/A,Member,Offline
158,Kul Tiras,Impure,Undead,120,Rogue,N/A,Member,Offline
159,Anachronos,Infusions,Blood Elf,120,Priest,N/A,Member,Offline
160,Tarren  Mill,Inglesinho,Blood Elf,120,Paladin,N/A,Member,Offline
161,Draenor,Intimately,Zandalari Troll,120,Warrior,N/A,Member,Offline
162,Kazzak,Jabretina,Orc,120,Death Knight,N/A,Member,Offline
163,Magtheridon,Jacinto,Troll,120,Priest,N/A,Member,Offline
164,Emeriss,Jackichan,Pandaren,120,Monk,N/A,Member,Offline
165,Throk'Feroth,Jacquie,Undead,120,Rogue,N/A,Member,Offline
166,Kul Tiras,Jerrysmith,Troll,120,Mage,N/A,Member,Offline
167,Magtheridon,Jinxsaw,Undead,120,Monk,N/A,Member,Offline
168,Drak'thul,Jinxspiralka,Blood Elf,120,Paladin,N/A,Member,Online
169,Frostwhisper,Jitterbugged,Tauren,120,Druid,N/A,Member,Offline
170,Tarren  Mill,Jorhom,Zandalari Troll,111,Druid,N/A,Member,Offline
171,Twisting Nether,Jàylie,Orc,120,Monk,N/A,Moderator,Offline
172,Burning Legion,Kadix,Goblin,120,Rogue,N/A,Member,Offline
173,Tarren  Mill,Kaieer,Troll,120,Monk,N/A,Member,Offline
174,Draenor,Kaileane,Tauren,120,Druid,N/A,Member,Offline
175,Drak'thul,Kaizetsu,Pandaren,120,Monk,N/A,Member,Offline
176,Bloodscalp,Kalgor,Mag'har Orc,120,Shaman,N/A,Member,Offline
177,Frostwhisper,Kaos,Blood Elf,120,Monk,N/A,Member,Offline
178,Burning Legion,Karolekstyka,Orc,120,Shaman,N/A,Member,Offline
179,Tarren  Mill,Khaburst,Orc,120,Hunter,N/A,Member,Offline
180,Stormrage,Khalua,Goblin,120,Shaman,N/A,Member,Offline
181,Burning Legion,Khatx,Troll,120,Warrior,N/A,Member,Offline
182,Draenor,Kheemura,Undead,120,Rogue,N/A,Member,Offline
183,Executus,Kieltar,Orc,120,Warrior,N/A,Member,Offline
184,Kul Tiras,Killerkenny,Mag'har Orc,120,Warrior,N/A,Member,Offline
185,Draenor,Killybear,Troll,120,Druid,N/A,Moderator,Offline
186,Draenor,Killyh5B55AE,Orc,120,Hunter,N/A,Member,Offline
187,Draenor,Killym5AC179,Orc,120,Monk,N/A,Member,Offline
188,Shattered Hand,Kipro,Blood Elf,120,Demon Hunter,N/A,Member,Offline
189,Argent Dawn,Kirmizi,Undead,120,Mage,N/A,Member,Offline
190,Tarren  Mill,Kmvergoeding,Troll,120,Warlock,N/A,Member,Offline
191,Dentarg,Kokerot,Undead,120,Warlock,N/A,Member,Offline
192,Draenor,Konsekvent,Blood Elf,120,Demon Hunter,N/A,Member,Offline
193,Draenor,Korsbaek,Troll,120,Shaman,N/A,Member,Offline
194,Tarren  Mill,Krasterg,Blood Elf,120,Demon Hunter,N/A,Member,Offline
195,Tarren  Mill,Krium,Blood Elf,120,Demon Hunter,N/A,Member,Offline
196,Tarren  Mill,Krämfiskzen,Blood Elf,120,Monk,N/A,Member,Offline
197,Defias Brotherhood,Kserakianos,Tauren,120,Shaman,N/A,Member,Offline
198,Drak'thul,Kuhral,Highmountain Tauren,120,Shaman,N/A,Member,Offline
199,Draenor,Kîrsty,Blood Elf,120,Paladin,N/A,Member,Offline
200,Stormreaver,Laniria,Blood Elf,120,Paladin,N/A,Member,Offline
201,Burning Blade,Lectric,Tauren,120,Shaman,N/A,Member,Offline
202,Vashj,Leendeko,Tauren,120,Druid,N/A,Member,Offline
203,Burning Legion,Leeo,Blood Elf,120,Monk,N/A,Member,Offline
204,Arathor,Leowenbrau,Troll,120,Shaman,N/A,Member,Offline
205,Twisting Nether,Lhethrilthel,Blood Elf,120,Paladin,N/A,Member,Offline
206,Al'Akir,Lhyao,Pandaren,120,Monk,N/A,Member,Offline
207,Drak'thul,Litbae,Blood Elf,120,Monk,N/A,Member,Offline
208,Chamberof Aspects,Lixalot,Blood Elf,120,Warrior,N/A,Member,Offline
209,Tarren  Mill,Lochrin,Troll,120,Druid,N/A,Member,Offline
210,Earthen Ring,Lothrin,Blood Elf,120,Paladin,N/A,Member,Offline
211,Neptulon,Loveshine,Blood Elf,120,Priest,N/A,Member,Offline
212,Kul Tiras,Lucani,Zandalari Troll,120,Shaman,N/A,Member,Offline
213,Dunemaul,Lucipher,Undead,120,Mage,N/A,Member,Offline
214,Draenor,Luml,Troll,120,Priest,N/A,Member,Offline
215,Tarren  Mill,Lungíe,Blood Elf,120,Paladin,N/A,Member,Offline
216,Argent Dawn,Lynazia,Blood Elf,120,Paladin,N/A,Member,Offline
217,Kul Tiras,Majerai,Zandalari Troll,120,Monk,N/A,Member,Offline
218,Kul Tiras,Maladath,Blood Elf,120,Demon Hunter,N/A,Member,Offline
219,Tarren  Mill,Malignance,Orc,120,Death Knight,N/A,Member,Offline
220,Tarren  Mill,Malphaes,Nightborne,120,Warlock,N/A,Member,Offline
221,Tarren  Mill,Maskena,Undead,120,Priest,N/A,Member,Offline
222,Burning Legion,Maszwpierdul,Blood Elf,120,Warrior,N/A,Member,Offline
223,Defias Brotherhood,Mavrogatos,Tauren,120,Warrior,N/A,Member,Offline
224,Tarren  Mill,Maxbu,Blood Elf,120,Monk,N/A,Member,Offline
225,Dentarg,Mcswagbag,Blood Elf,120,Hunter,N/A,Member,Offline
226,Draenor,Mecham,Mag'har Orc,120,Hunter,N/A,Member,Offline
227,Stormscale,Mendit,Undead,120,Priest,N/A,Member,Offline
228,Kul Tiras,Mexiken,Zandalari Troll,120,Druid,N/A,Member,Offline
229,Executus,Michael,Blood Elf,120,Demon Hunter,N/A,Member,Offline
230,Stormreaver,Miekkis,Orc,120,Warrior,N/A,Member,Online
231,Tarren  Mill,Milksteak,Zandalari Troll,120,Paladin,N/A,Member,Offline
232,Draenor,Modzon,Tauren,120,Hunter,N/A,Member,Online
233,Draenor,Mojidari,Blood Elf,120,Demon Hunter,N/A,Member,Offline
234,TheSha'tar,Monbarak,Zandalari Troll,120,Hunter,N/A,Member,Offline
235,Draenor,Moonnfiire,Troll,120,Warlock,N/A,Member,Offline
236,Magtheridon,Moqq,Undead,120,Rogue,N/A,Member,Offline
237,Draenor,Mortehumain,Undead,120,Rogue,N/A,Member,Offline
238,Burning Blade,Mortis,Zandalari Troll,120,Rogue,N/A,Member,Offline
239,Kazzak,Movv,Troll,120,Mage,N/A,Member,Offline
240,Magtheridon,Myopia,Undead,120,Rogue,N/A,Member,Offline
241,Tarren  Mill,Míami,Mag'har Orc,51,Monk,N/A,Member,Offline
242,Kazzak,Mönkdonalds,Blood Elf,120,Monk,N/A,Member,Offline
243,Kul Tiras,Naebliss,Goblin,120,Death Knight,N/A,Member,Offline
244,Al'Akir,Nazorine,Zandalari Troll,120,Druid,N/A,Member,Offline
245,Tarren  Mill,Nerfthul,Mag'har Orc,120,Shaman,N/A,Member,Offline
246,Zenedar,Nerzal,Blood Elf,120,Death Knight,N/A,Member,Offline
247,Khadgar,Neucroticalz,Zandalari Troll,120,Hunter,N/A,Member,Offline
248,Stormreaver,Nillthor,Blood Elf,120,Hunter,N/A,Member,Offline
249,Draenor,Ninjaspy,Goblin,120,Rogue,N/A,Member,Offline
250,Tarren  Mill,Notahuman,Tauren,120,Druid,N/A,Member,Offline
251,Kazzak,Notbogi,Blood Elf,120,Paladin,N/A,Member,Online
252,Kazzak,Notfanatik,Blood Elf,120,Warrior,N/A,Member,Offline
253,Tarren  Mill,Numnum,Blood Elf,120,Paladin,N/A,Member,Offline
254,Kul Tiras,Nuri,Undead,120,Priest,N/A,Member,Offline
255,Draenor,Nxiv,Blood Elf,120,Demon Hunter,N/A,Member,Offline
256,Argent Dawn,Nyximir,Blood Elf,120,Rogue,N/A,Member,Offline
257,Tarren  Mill,Nâsty,Tauren,120,Druid,N/A,Member,Offline
258,Tarren  Mill,Nërra,Troll,120,Death Knight,N/A,Member,Offline
259,Emeriss,Níte,Goblin,120,Shaman,N/A,Member,Offline
260,Dentarg,Obelixus,Tauren,120,Druid,N/A,Member,Offline
261,Twisting Nether,Obri,Orc,120,Rogue,N/A,Member,Offline
262,Kul Tiras,Oecheyeti,Troll,120,Hunter,N/A,Member,Offline
263,Dentarg,Oldspice,Nightborne,20,Hunter,N/A,Member,Offline
264,Neptulon,Omerta,Blood Elf,120,Demon Hunter,N/A,Member,Offline
265,Draenor,Orogoth,Orc,120,Warlock,N/A,Member,Offline
266,Tarren  Mill,Oroom,Undead,120,Priest,N/A,Member,Offline
267,Tarren  Mill,Paatz,Blood Elf,120,Rogue,N/A,Member,Offline
268,Genjuros,Pabliirl,Tauren,120,Paladin,N/A,Member,Offline
269,Tarren  Mill,Pandoboohy,Pandaren,68,Monk,N/A,Member,Offline
270,Draenor,Pandòra,Pandaren,120,Monk,N/A,Member,Offline
271,Defias Brotherhood,Paremoupipa,Blood Elf,120,Demon Hunter,N/A,Member,Offline
272,Burning Legion,Pasaroi,Blood Elf,120,Demon Hunter,N/A,Member,Offline
273,Draenor,Pendemic,Blood Elf,120,Death Knight,N/A,Member,Offline
274,Tarren  Mill,Pennywize,Undead,120,Rogue,N/A,Member,Offline
275,Sunstrider,Perkla,Blood Elf,120,Death Knight,N/A,Member,Offline
276,Drak'thul,Perorocino,Highmountain Tauren,120,Druid,N/A,Member,Offline
277,Drak'thul,Phoßia,Nightborne,120,Mage,N/A,Member,Offline
278,Haomarush,Pincu,Troll,120,Warlock,N/A,Member,Offline
279,Draenor,Pinetusk,Zandalari Troll,110,Druid,N/A,Member,Offline
280,Draenor,Pixiechloe,Blood Elf,120,Paladin,N/A,Member,Offline
281,Ragnaros,Pogshock,Orc,120,Shaman,N/A,Member,Offline
282,Draenor,Prometheús,Troll,120,Shaman,N/A,Member,Offline
283,Tarren  Mill,Puds,Troll,120,Shaman,N/A,Member,Offline
284,Draenor,Pórkybéást,Blood Elf,120,Demon Hunter,N/A,Member,Offline
285,Burning Legion,Pósuch,Orc,120,Death Knight,N/A,Member,Offline
286,Draenor,Qatharyhna,Orc,120,Warlock,N/A,Member,Offline
287,Drek'Thar,Qithy,Blood Elf,120,Demon Hunter,N/A,Member,Offline
288,Draenor,Qlaire,Pandaren,120,Monk,N/A,Member,Offline
289,Kazzak,Qlimox,Blood Elf,120,Demon Hunter,N/A,Member,Offline
290,Kazzak,Ragnoc,Blood Elf,120,Death Knight,N/A,Member,Offline
291,Zenedar,Ramsese,Tauren,120,Warrior,N/A,Member,Offline
292,Bladefist,Randymarsch,Orc,120,Warrior,N/A,Member,Offline
293,Defias Brotherhood,Raxk,Orc,120,Rogue,N/A,Member,Offline
294,Draenor,Realchill,Blood Elf,120,Demon Hunter,N/A,Member,Offline
295,Twisting Nether,Redspear,Blood Elf,120,Demon Hunter,N/A,Member,Offline
296,Stormreaver,Restobe,Orc,120,Shaman,N/A,Member,Offline
297,Al'Akir,Restofarian,Zandalari Troll,120,Druid,N/A,Member,Offline
298,Drak'thul,Rexer,Mag'har Orc,120,Hunter,N/A,Member,Offline
299,Dentarg,Riskcapcap,Blood Elf,120,Monk,N/A,Member,Offline
300,Dentarg,Riskflapflap,Blood Elf,120,Demon Hunter,N/A,Member,Offline
301,Doomhammer,Rogogob,Goblin,120,Rogue,N/A,Member,Offline
302,Argent Dawn,Rokà,Mag'har Orc,120,Warrior,N/A,Member,Offline
303,Kazzak,Rollingmonk,Blood Elf,120,Monk,N/A,Member,Offline
304,Tarren  Mill,Rustiinpeace,Troll,120,Priest,N/A,Member,Offline
305,Twisting Nether,Ryamoto,Tauren,120,Druid,N/A,Member,Offline
306,Twilight'sHammer,Ryfunz,Blood Elf,120,Paladin,N/A,Member,Offline
307,Darksorrow,Sackem,Mag'har Orc,120,Hunter,N/A,Member,Offline
308,Outland,Salyx,Blood Elf,120,Paladin,N/A,Member,Offline
309,Tarren  Mill,Sampam,Undead,120,Warrior,N/A,Member,Offline
310,Aggramar,Sanzo,Undead,120,Rogue,N/A,Member,Offline
311,Doomhammer,Sapaki,Undead,120,Warlock,N/A,Member,Offline
312,Tarren  Mill,Scrymgore,Troll,120,Warlock,N/A,Leader,Offline
313,Shadowsong,Searing,Undead,120,Warlock,N/A,Member,Offline
314,Shattered Hand,Serazu,Undead,120,Priest,N/A,Member,Offline
315,Kazzak,Severinå,Orc,120,Shaman,N/A,Member,Offline
316,Tarren  Mill,Shadowbella,Goblin,120,Rogue,N/A,Member,Offline
317,Burning Legion,Shafrozenman,Mag'har Orc,120,Shaman,N/A,Member,Online
318,Tarren  Mill,Shamaazing,Mag'har Orc,120,Shaman,N/A,Member,Offline
319,Drak'thul,Shenky,Tauren,120,Warrior,N/A,Member,Offline
320,Draenor,Shinybauble,Blood Elf,120,Paladin,N/A,Member,Offline
321,Azjol Nerub,Shir,Nightborne,120,Hunter,N/A,Member,Offline
322,Tarren  Mill,Shokara,Orc,113,Shaman,N/A,Member,Offline
323,Draenor,Shâggy,Blood Elf,120,Monk,N/A,Member,Offline
324,Draenor,Shìfthead,Tauren,120,Druid,N/A,Member,Offline
325,Tarren  Mill,Silthaien,Mag'har Orc,45,Shaman,N/A,Member,Offline
326,Tarren  Mill,Sinprot,Mag'har Orc,120,Warrior,N/A,Member,Offline
327,Tarren  Mill,Sinrog,Blood Elf,120,Rogue,N/A,Member,Offline
328,Draenor,Sintirx,Blood Elf,120,Death Knight,N/A,Member,Offline
329,Bloodscalp,Sknuff,Blood Elf,120,Mage,N/A,Member,Offline
330,Dentarg,Smokeys,Pandaren,120,Warrior,N/A,Member,Offline
331,Kor'gall,Smrdov,Troll,120,Death Knight,N/A,Member,Offline
332,Emeriss,Soulstoner,Undead,120,Warlock,N/A,Member,Offline
333,Draenor,Staahl,Zandalari Troll,120,Warrior,N/A,Member,Offline
334,Drak'thul,Steelballz,Undead,120,Rogue,N/A,Member,Offline
335,Kazzak,Stensture,Blood Elf,120,Paladin,N/A,Member,Offline
336,Stormscale,Stickysticky,Orc,120,Death Knight,N/A,Member,Offline
337,Kazzak,Stillflake,Blood Elf,120,Rogue,N/A,Member,Offline
338,Burning Steppes,Stjärnfall,Troll,120,Druid,N/A,Member,Offline
339,Draenor,Stonebark,Tauren,120,Druid,N/A,Member,Offline
340,Darksorrow,Stopordie,Undead,120,Rogue,N/A,Member,Offline
341,Tarren  Mill,Sumnjivolice,Blood Elf,120,Demon Hunter,N/A,Member,Offline
342,Burning Legion,Supagurl,Highmountain Tauren,120,Druid,N/A,Member,Offline
343,Burning Legion,Suuchyy,Tauren,120,Warrior,N/A,Member,Offline
344,Kazzak,Swestenqt,Zandalari Troll,120,Druid,N/A,Member,Offline
345,Frostwhisper,Tabzorx,Troll,120,Druid,N/A,Member,Offline
346,Twisting Nether,Taylórswift,Pandaren,120,Mage,N/A,Member,Offline
347,Azjol Nerub,Telcharios,Blood Elf,120,Paladin,N/A,Member,Offline
348,Tarren  Mill,Telnas,Blood Elf,120,Priest,N/A,Moderator,Offline
349,Dragonmaw,Terrorbladë,Blood Elf,120,Demon Hunter,N/A,Member,Offline
350,Tarren  Mill,Theqp,Tauren,105,Paladin,N/A,Member,Offline
351,Draenor,Thiirry,Zandalari Troll,120,Paladin,N/A,Member,Online
352,Azjol Nerub,Threebullets,Orc,120,Hunter,N/A,Member,Offline
353,Emerald Dream,Thundernut,Orc,120,Shaman,N/A,Member,Offline
354,Magtheridon,Thundersmack,Orc,120,Shaman,N/A,Member,Offline
355,Twilight'sHammer,Thyrfing,Tauren,120,Paladin,N/A,Member,Offline
